Alex Caruso|Cade Cunningham|Dwight Howard|Giannis Antetokounmpo|Kristaps Porzingis|Luka Doncic|Saddiq Bey|Talen Horton-Tucker|Tomas Satoransky,1,60000.0,0.0
Ayo Dosunmu|Cade Cunningham|Carmelo Anthony|DeMar DeRozan|Donovan Mitchell|Dwight Howard|James Harden|Kristaps Porzingis|Mike Conley,1,60000.0,73.01
Ayo Dosunmu|Cade Cunningham|Carmelo Anthony|DeMar DeRozan|Giannis Antetokounmpo|Luka Doncic|Maxi Kleber|Nikola Vucevic|Tomas Satoransky,1,59900.0,0.0
Ayo Dosunmu|Cade Cunningham|Carmelo Anthony|Donovan Mitchell|Dorian Finney-Smith|Dwight Howard|Giannis Antetokounmpo|Luka Doncic|Saddiq Bey,2,59700.0,44.11
Ayo Dosunmu|Cade Cunningham|Carmelo Anthony|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|Isaiah Stewart|James Harden|Mike Conley,1,59900.0,73.01
Ayo Dosunmu|Cade Cunningham|Carmelo Anthony|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|Luka Doncic|Rui Hachimura|Saddiq Bey,2,59700.0,44.11
Ayo Dosunmu|Cade Cunningham|Carmelo Anthony|Donovan Mitchell|Giannis Antetokounmpo|Isaiah Stewart|Luka Doncic|Saddiq Bey|Talen Horton-Tucker,1,59700.0,44.11
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Donovan Mitchell|Dorian Finney-Smith|Dwight Howard|Giannis Antetokounmpo|Kristaps Porzingis|Tomas Satoransky,2,59900.0,44.11
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Donovan Mitchell|Dorian Finney-Smith|Dwight Howard|Kristaps Porzingis|Luka Doncic|Rui Hachimura,1,59900.0,44.11
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|Isaiah Stewart|Marvin Bagley|Mike Conley,1,60000.0,73.01
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|Isaiah Stewart|Russell Westbrook|Talen Horton-Tucker,3,59800.0,44.11
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|Mike Conley|Saddiq Bey|Tobias Harris,2,59900.0,73.01
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Donovan Mitchell|Dwight Howard|Isaiah Stewart|Kristaps Porzingis|Luka Doncic|Talen Horton-Tucker,2,59600.0,44.11
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Donovan Mitchell|Dwight Howard|Kristaps Porzingis|Luka Doncic|Maxi Kleber|Saddiq Bey,3,59900.0,44.11
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Donovan Mitchell|Giannis Antetokounmpo|Isaiah Stewart|Kristaps Porzingis|Talen Horton-Tucker|Tomas Satoransky,1,59900.0,44.11
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Donovan Mitchell|Giannis Antetokounmpo|Mike Conley|Nikola Vucevic|Rui Hachimura|Talen Horton-Tucker,1,59900.0,73.01
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Donovan Mitchell|Giannis Antetokounmpo|Nikola Vucevic|Rui Hachimura|Saddiq Bey|Tomas Satoransky,2,60000.0,44.11
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Donovan Mitchell|Isaiah Stewart|Luka Doncic|Maxi Kleber|Nikola Vucevic|Saddiq Bey,1,59700.0,44.11
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Donovan Mitchell|Joel Embiid|Kristaps Porzingis|Maxi Kleber|Saddiq Bey|Tomas Satoransky,1,60000.0,44.11
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Dorian Finney-Smith|Dwight Howard|Giannis Antetokounmpo|Jordan Clarkson|Luka Doncic|Rui Hachimura,1,59900.0,27.62
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Dwight Howard|Giannis Antetokounmpo|Isaiah Stewart|Luka Doncic|Saddiq Bey|Tomas Satoransky,3,59600.0,0.0
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Dwight Howard|Giannis Antetokounmpo|Isaiah Stewart|Luka Doncic|Tobias Harris|Tomas Satoransky,3,60000.0,0.0
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Dwight Howard|Giannis Antetokounmpo|James Harden|Mike Conley|Tobias Harris|Tomas Satoransky,1,59800.0,28.9
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Dwight Howard|Giannis Antetokounmpo|Jordan Clarkson|Luka Doncic|Maxi Kleber|Saddiq Bey,3,59900.0,27.62
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Dwight Howard|Giannis Antetokounmpo|Luka Doncic|Maxi Kleber|Mike Conley|Saddiq Bey,3,59800.0,28.9
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Dwight Howard|Kristaps Porzingis|Luka Doncic|Marvin Bagley|Mike Conley|Saddiq Bey,1,60000.0,28.9
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Giannis Antetokounmpo|Isaiah Stewart|Luka Doncic|Rui Hachimura|Saddiq Bey|Tomas Satoransky,2,59900.0,0.0
Ayo Dosunmu|Cade Cunningham|DeMar DeRozan|Giannis Antetokounmpo|Joel Embiid|Maxi Kleber|Mike Conley|Saddiq Bey|Tomas Satoransky,1,59900.0,28.9
Ayo Dosunmu|Cade Cunningham|Deni Avdija|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|Isaiah Stewart|Luka Doncic|Talen Horton-Tucker,1,60000.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Dorian Finney-Smith|Dwight Howard|Giannis Antetokounmpo|Isaiah Stewart|Luka Doncic|Rui Hachimura,1,59800.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Dorian Finney-Smith|Dwight Howard|Giannis Antetokounmpo|Kristaps Porzingis|Maxi Kleber|Russell Westbrook,1,60000.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Dorian Finney-Smith|Dwight Howard|Giannis Antetokounmpo|Luka Doncic|Marvin Bagley|Maxi Kleber,1,59900.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Dorian Finney-Smith|Dwight Howard|Giannis Antetokounmpo|Luka Doncic|Marvin Bagley|Talen Horton-Tucker,2,59900.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Dorian Finney-Smith|Isaiah Stewart|Joel Embiid|Luka Doncic|Maxi Kleber|Saddiq Bey,1,59900.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|Isaiah Stewart|James Harden|Saddiq Bey|Tomas Satoransky,1,59400.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|Isaiah Stewart|James Harden|Tobias Harris|Tomas Satoransky,1,59800.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|Isaiah Stewart|Luka Doncic|Maxi Kleber|Saddiq Bey,3,59800.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|Isaiah Stewart|Luka Doncic|Saddiq Bey|Talen Horton-Tucker,3,59800.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|Isaiah Stewart|Russell Westbrook|Saddiq Bey|Tobias Harris,1,59800.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|James Harden|Maxi Kleber|Mike Conley|Saddiq Bey,1,59600.0,73.01
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|James Harden|Mike Conley|Talen Horton-Tucker|Tobias Harris,2,60000.0,73.01
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|Kentavious Caldwell-Pope|Luka Doncic|Maxi Kleber|Saddiq Bey,2,59800.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Dwight Howard|Giannis Antetokounmpo|Luka Doncic|Marvin Bagley|Rui Hachimura|Talen Horton-Tucker,2,59900.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Giannis Antetokounmpo|Isaiah Stewart|Joel Embiid|Maxi Kleber|Saddiq Bey|Tomas Satoransky,1,59900.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Giannis Antetokounmpo|Isaiah Stewart|Joel Embiid|Saddiq Bey|Talen Horton-Tucker|Tomas Satoransky,3,59900.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Giannis Antetokounmpo|Kristaps Porzingis|Nikola Vucevic|Saddiq Bey|Talen Horton-Tucker|Tomas Satoransky,2,59900.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Isaiah Stewart|James Harden|Luka Doncic|Maxi Kleber|Nikola Vucevic|Talen Horton-Tucker,1,59800.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Isaiah Stewart|Joel Embiid|Luka Doncic|Rui Hachimura|Saddiq Bey|Talen Horton-Tucker,2,59900.0,44.11
Ayo Dosunmu|Cade Cunningham|Donovan Mitchell|Joel Embiid|Luka Doncic|Marvin Bagley|Maxi Kleber|Saddiq Bey|Talen Horton-Tucker,1,60000.0,44.11
Ayo Dosunmu|Cade Cunningham|Dorian Finney-Smith|Dwight Howard|Giannis Antetokounmpo|James Harden|Luka Doncic|Rui Hachimura|Tomas Satoransky,3,60000.0,0.0
Ayo Dosunmu|Cade Cunningham|Dorian Finney-Smith|Dwight Howard|Giannis Antetokounmpo|Kristaps Porzingis|Luka Doncic|Mike Conley|Talen Horton-Tucker,1,59700.0,28.9
Ayo Dosunmu|Cade Cunningham|Dorian Finney-Smith|Dwight Howard|Giannis Antetokounmpo|Kristaps Porzingis|Luka Doncic|Saddiq Bey|Tomas Satoransky,2,59800.0,0.0
Ayo Dosunmu|Cade Cunningham|Dorian Finney-Smith|Dwight Howard|Isaiah Stewart|James Harden|Kristaps Porzingis|Luka Doncic|Mike Conley,1,60000.0,28.9
Ayo Dosunmu|Cade Cunningham|Dorian Finney-Smith|Dwight Howard|Isaiah Stewart|James Harden|Kristaps Porzingis|Luka Doncic|Saddiq Bey,1,60000.0,0.0
Ayo Dosunmu|Cade Cunningham|Dorian Finney-Smith|Giannis Antetokounmpo|Isaiah Stewart|James Harden|Luka Doncic|Maxi Kleber|Tomas Satoransky,1,60000.0,0.0
