Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (19760143),Joel Embiid,19760143,C/UTIL,10600,PHI@NOP 10/20/2021 08:00PM ET,PHI,50.55
C,Nikola Jokic (19760145),Nikola Jokic,19760145,C/UTIL,10400,DEN@PHX 10/20/2021 10:00PM ET,DEN,57.18
PG,Damian Lillard (19760147),Damian Lillard,19760147,PG/G/UTIL,10100,SAC@POR 10/20/2021 10:00PM ET,POR,49.67
PF/C,Domantas Sabonis (19760150),Domantas Sabonis,19760150,PF/C/F/UTIL,9800,IND@CHA 10/20/2021 07:00PM ET,IND,49.34
C,Karl-Anthony Towns (19760154),Karl-Anthony Towns,19760154,C/UTIL,9700,HOU@MIN 10/20/2021 08:00PM ET,MIN,49.20
PG/SG,Donovan Mitchell (19760156),Donovan Mitchell,19760156,PG/SG/G/UTIL,9600,OKC@UTA 10/20/2021 09:00PM ET,UTA,43.80
SG,Bradley Beal (19760160),Bradley Beal,19760160,SG/G/UTIL,9500,WAS@TOR 10/20/2021 07:30PM ET,WAS,46.31
PF,Jayson Tatum (19760163),Jayson Tatum,19760163,PF/F/UTIL,9400,BOS@NYK 10/20/2021 07:30PM ET,BOS,46.68
PG,De'Aaron Fox (19760166),De'Aaron Fox,19760166,PG/G/UTIL,9300,SAC@POR 10/20/2021 10:00PM ET,SAC,43.95
PG,Ja Morant (19760169),Ja Morant,19760169,PG/G/UTIL,9100,CLE@MEM 10/20/2021 08:00PM ET,MEM,37.98
C,Nikola Vucevic (19760172),Nikola Vucevic,19760172,C/UTIL,9000,CHI@DET 10/20/2021 07:00PM ET,CHI,48.47
PF/C,Zion Williamson (19760174),Zion Williamson,19760174,PF/C/F/UTIL,8900,PHI@NOP 10/20/2021 08:00PM ET,NOP,43.80
PF/C,Julius Randle (19760178),Julius Randle,19760178,PF/C/F/UTIL,8800,BOS@NYK 10/20/2021 07:30PM ET,NYK,48.16
SG,Zach LaVine (19760182),Zach LaVine,19760182,SG/G/UTIL,8700,CHI@DET 10/20/2021 07:00PM ET,CHI,43.52
PF/C,Pascal Siakam (19760185),Pascal Siakam,19760185,PF/C/F/UTIL,8600,WAS@TOR 10/20/2021 07:30PM ET,TOR,40.59
PG,D'Angelo Russell (19760189),D'Angelo Russell,19760189,PG/G/UTIL,8500,HOU@MIN 10/20/2021 08:00PM ET,MIN,34.28
PG/SG,Collin Sexton (19760192),Collin Sexton,19760192,PG/SG/G/UTIL,8300,CLE@MEM 10/20/2021 08:00PM ET,CLE,36.63
PG/SG,Devin Booker (19760196),Devin Booker,19760196,PG/SG/G/UTIL,8200,DEN@PHX 10/20/2021 10:00PM ET,PHX,39.73
C,Rudy Gobert (19760200),Rudy Gobert,19760200,C/UTIL,8200,OKC@UTA 10/20/2021 09:00PM ET,UTA,39.39
SG/SF,Jaylen Brown (19760202),Jaylen Brown,19760202,SG/SF/F/G/UTIL,8100,BOS@NYK 10/20/2021 07:30PM ET,BOS,41.06
SG,Jamal Murray (19760209),Jamal Murray,19760209,SG/G/UTIL,8000,DEN@PHX 10/20/2021 10:00PM ET,DEN,36.94
C,Christian Wood (19760207),Christian Wood,19760207,C/UTIL,8000,HOU@MIN 10/20/2021 08:00PM ET,HOU,40.27
PG,John Wall (19760212),John Wall,19760212,PG/G/UTIL,7900,HOU@MIN 10/20/2021 08:00PM ET,HOU,38.13
PG/SG,Caris LeVert (19760215),Caris LeVert,19760215,PG/SG/G/UTIL,7800,IND@CHA 10/20/2021 07:00PM ET,IND,37.77
PG,Kevin Porter Jr. (19760219),Kevin Porter Jr.,19760219,PG/G/UTIL,7800,HOU@MIN 10/20/2021 08:00PM ET,HOU,32.32
PG,LaMelo Ball (19760222),LaMelo Ball,19760222,PG/G/UTIL,7700,IND@CHA 10/20/2021 07:00PM ET,CHA,35.68
SF/PF,Brandon Ingram (19760225),Brandon Ingram,19760225,SF/PF/F/UTIL,7700,PHI@NOP 10/20/2021 08:00PM ET,NOP,39.74
PG,Chris Paul (19760232),Chris Paul,19760232,PG/G/UTIL,7600,DEN@PHX 10/20/2021 10:00PM ET,PHX,38.89
PG,Darius Garland (19760235),Darius Garland,19760235,PG/G/UTIL,7600,CLE@MEM 10/20/2021 08:00PM ET,CLE,31.84
PF,Tobias Harris (19760229),Tobias Harris,19760229,PF/F/UTIL,7600,PHI@NOP 10/20/2021 08:00PM ET,PHI,37.44
PG,Malcolm Brogdon (19760238),Malcolm Brogdon,19760238,PG/G/UTIL,7500,IND@CHA 10/20/2021 07:00PM ET,IND,39.03
SF/PF,Gordon Hayward (19760245),Gordon Hayward,19760245,SF/PF/F/UTIL,7500,IND@CHA 10/20/2021 07:00PM ET,CHA,36.11
PG/SG,Fred VanVleet (19760241),Fred VanVleet,19760241,PG/SG/G/UTIL,7500,WAS@TOR 10/20/2021 07:30PM ET,TOR,40.02
PG/SG,Terry Rozier (19760249),Terry Rozier,19760249,PG/SG/G/UTIL,7400,IND@CHA 10/20/2021 07:00PM ET,CHA,36.33
C,Jonas Valanciunas (19760253),Jonas Valanciunas,19760253,C/UTIL,7400,PHI@NOP 10/20/2021 08:00PM ET,NOP,38.70
SF/PF,Harrison Barnes (19760255),Harrison Barnes,19760255,SF/PF/F/UTIL,7400,SAC@POR 10/20/2021 10:00PM ET,SAC,31.66
