Contest ID,Entry ID,PG,SG,G,SF,PF,F,C,UTIL," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6166$nba.g.2374140,De'Andre,Hunter,nba.p.6166$nba.g.2374140 - De'Andre Hunter,SF,ATL,WAS,ATL@WAS,7:00PM EDT,12,19.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6172$nba.g.2374140,Cam,Reddish,nba.p.6172$nba.g.2374140 - Cam Reddish,SF,ATL,WAS,ATL@WAS,7:00PM EDT,12,23.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6398$nba.g.2374140,Onyeka,Okongwu,nba.p.6398$nba.g.2374140 - Onyeka Okongwu,C,ATL,WAS,ATL@WAS,7:00PM EDT,10,11.0,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6442$nba.g.2374140,Skylar,Mays,nba.p.6442$nba.g.2374140 - Skylar Mays,SG,ATL,WAS,ATL@WAS,7:00PM EDT,10,2.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6562$nba.g.2374140,Jalen,Johnson,nba.p.6562$nba.g.2374140 - Jalen Johnson,SF,ATL,WAS,ATL@WAS,7:00PM EDT,10,5.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6590$nba.g.2374140,Sharife,Cooper,nba.p.6590$nba.g.2374140 - Sharife Cooper,PG,ATL,WAS,ATL@WAS,7:00PM EDT,10,1.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4926$nba.g.2374140,Davis,Bertans,nba.p.4926$nba.g.2374140 - Davis Bertans,PF,WAS,ATL,ATL@WAS,7:00PM EDT,10,10.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5009$nba.g.2374140,Bradley,Beal,nba.p.5009$nba.g.2374140 - Bradley Beal,SF,WAS,ATL,ATL@WAS,7:00PM EDT,40,34.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5159$nba.g.2374140,Kentavious,Caldwell-Pope,nba.p.5159$nba.g.2374140 - Kentavious Caldwell-Pope,SF,WAS,ATL,ATL@WAS,7:00PM EDT,11,14.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5217$nba.g.2374140,Raul,Neto,nba.p.5217$nba.g.2374140 - Raul Neto,SG,WAS,ATL,ATL@WAS,7:00PM EDT,10,21.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5349$nba.g.2374140,Spencer,Dinwiddie,nba.p.5349$nba.g.2374140 - Spencer Dinwiddie,PG,WAS,ATL,ATL@WAS,7:00PM EDT,26,34.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5492$nba.g.2374140,Montrezl,Harrell,nba.p.5492$nba.g.2374140 - Montrezl Harrell,C,WAS,ATL,ATL@WAS,7:00PM EDT,16,33.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5840$nba.g.2374140,Kyle,Kuzma,nba.p.5840$nba.g.2374140 - Kyle Kuzma,PF,WAS,ATL,ATL@WAS,7:00PM EDT,21,33.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5855$nba.g.2374140,Thomas,Bryant,nba.p.5855$nba.g.2374140 - Thomas Bryant,C,WAS,ATL,ATL@WAS,7:00PM EDT,10,26.4,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6034$nba.g.2374140,Aaron,Holiday,nba.p.6034$nba.g.2374140 - Aaron Holiday,PG,WAS,ATL,ATL@WAS,7:00PM EDT,10,12.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6171$nba.g.2374140,Rui,Hachimura,nba.p.6171$nba.g.2374140 - Rui Hachimura,PF,WAS,ATL,ATL@WAS,7:00PM EDT,19,24.1,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6226$nba.g.2374140,Daniel,Gafford,nba.p.6226$nba.g.2374140 - Daniel Gafford,C,WAS,ATL,ATL@WAS,7:00PM EDT,18,20.4,O," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6401$nba.g.2374140,Deni,Avdija,nba.p.6401$nba.g.2374140 - Deni Avdija,SF,WAS,ATL,ATL@WAS,7:00PM EDT,10,16.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6445$nba.g.2374140,Cassius,Winston,nba.p.6445$nba.g.2374140 - Cassius Winston,PG,WAS,ATL,ATL@WAS,7:00PM EDT,10,3.4,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6471$nba.g.2374140,Anthony,Gill,nba.p.6471$nba.g.2374140 - Anthony Gill,SF,WAS,ATL,ATL@WAS,7:00PM EDT,10,6.5,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6557$nba.g.2374140,Corey,Kispert,nba.p.6557$nba.g.2374140 - Corey Kispert,SG,WAS,ATL,ATL@WAS,7:00PM EDT,10,7.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6573$nba.g.2374140,Isaiah,Todd,nba.p.6573$nba.g.2374140 - Isaiah Todd,PF,WAS,ATL,ATL@WAS,7:00PM EDT,10,8.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6605$nba.g.2374140,Joel,Ayayi,nba.p.6605$nba.g.2374140 - Joel Ayayi,SG,WAS,ATL,ATL@WAS,7:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4136$nba.g.2374162,Rudy,Gay,nba.p.4136$nba.g.2374162 - Rudy Gay,PF,UTA,HOU,UTA@HOU,8:00PM EDT,10,22.4,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4246$nba.g.2374162,Mike,Conley,nba.p.4246$nba.g.2374162 - Mike Conley,PG,UTA,HOU,UTA@HOU,8:00PM EDT,22,26.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4764$nba.g.2374162,Hassan,Whiteside,nba.p.4764$nba.g.2374162 - Hassan Whiteside,C,UTA,HOU,UTA@HOU,8:00PM EDT,10,22.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4913$nba.g.2374162,Bojan,Bogdanovic,nba.p.4913$nba.g.2374162 - Bojan Bogdanovic,SF,UTA,HOU,UTA@HOU,8:00PM EDT,19,24.2,GTD," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5197$nba.g.2374162,Rudy,Gobert,nba.p.5197$nba.g.2374162 - Rudy Gobert,C,UTA,HOU,UTA@HOU,8:00PM EDT,33,43.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5357$nba.g.2374162,Jordan,Clarkson,nba.p.5357$nba.g.2374162 - Jordan Clarkson,SG,UTA,HOU,UTA@HOU,8:00PM EDT,19,23.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5393$nba.g.2374162,Joe,Ingles,nba.p.5393$nba.g.2374162 - Joe Ingles,SF,UTA,HOU,UTA@HOU,8:00PM EDT,16,17.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5826$nba.g.2374162,Donovan,Mitchell,nba.p.5826$nba.g.2374162 - Donovan Mitchell,SG,UTA,HOU,UTA@HOU,8:00PM EDT,39,35.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5905$nba.g.2374162,Royce,O'Neale,nba.p.5905$nba.g.2374162 - Royce O'Neale,PF,UTA,HOU,UTA@HOU,8:00PM EDT,13,19.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6229$nba.g.2374162,Eric,Paschall,nba.p.6229$nba.g.2374162 - Eric Paschall,PF,UTA,HOU,UTA@HOU,8:00PM EDT,10,7.4,GTD," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6246$nba.g.2374162,Miye,Oni,nba.p.6246$nba.g.2374162 - Miye Oni,SG,UTA,HOU,UTA@HOU,8:00PM EDT,10,0.0,GTD," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6419$nba.g.2374162,Udoka,Azubuike,nba.p.6419$nba.g.2374162 - Udoka Azubuike,C,UTA,HOU,UTA@HOU,8:00PM EDT,10,2.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6431$nba.g.2374162,Elijah,Hughes,nba.p.6431$nba.g.2374162 - Elijah Hughes,SG,UTA,HOU,UTA@HOU,8:00PM EDT,10,2.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6464$nba.g.2374162,Trent,Forrest,nba.p.6464$nba.g.2374162 - Trent Forrest,SG,UTA,HOU,UTA@HOU,8:00PM EDT,10,5.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6480$nba.g.2374162,Malik,Fitts,nba.p.6480$nba.g.2374162 - Malik Fitts,SF,UTA,HOU,UTA@HOU,8:00PM EDT,10,1.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6582$nba.g.2374162,Jared,Butler,nba.p.6582$nba.g.2374162 - Jared Butler,PG,UTA,HOU,UTA@HOU,8:00PM EDT,10,1.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4469$nba.g.2374162,Eric,Gordon,nba.p.4469$nba.g.2374162 - Eric Gordon,SF,HOU,UTA,UTA@HOU,8:00PM EDT,18,21.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4471$nba.g.2374162,D.J.,Augustin,nba.p.4471$nba.g.2374162 - D.J. Augustin,PG,HOU,UTA,UTA@HOU,8:00PM EDT,10,5.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4716$nba.g.2374162,John,Wall,nba.p.4716$nba.g.2374162 - John Wall,PG,HOU,UTA,UTA@HOU,8:00PM EDT,10,36.7,O," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5583$nba.g.2374162,Christian,Wood,nba.p.5583$nba.g.2374162 - Christian Wood,C,HOU,UTA,UTA@HOU,8:00PM EDT,36,41.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5728$nba.g.2374162,Danuel,House Jr.,nba.p.5728$nba.g.2374162 - Danuel House Jr.,SG,HOU,UTA,UTA@HOU,8:00PM EDT,10,10.1,O," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5762$nba.g.2374162,David,Nwaba,nba.p.5762$nba.g.2374162 - David Nwaba,SF,HOU,UTA,UTA@HOU,8:00PM EDT,10,14.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5880$nba.g.2374162,Daniel,Theis,nba.p.5880$nba.g.2374162 - Daniel Theis,PF,HOU,UTA,UTA@HOU,8:00PM EDT,11,17.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6218$nba.g.2374162,Kevin,Porter Jr.,nba.p.6218$nba.g.2374162 - Kevin Porter Jr.,PG,HOU,UTA,UTA@HOU,8:00PM EDT,26,26.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6259$nba.g.2374162,Garrison,Mathews,nba.p.6259$nba.g.2374162 - Garrison Mathews,SG,HOU,UTA,UTA@HOU,8:00PM EDT,10,8.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6285$nba.g.2374162,Armoni,Brooks,nba.p.6285$nba.g.2374162 - Armoni Brooks,PG,HOU,UTA,UTA@HOU,8:00PM EDT,10,6.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6444$nba.g.2374162,KJ,Martin,nba.p.6444$nba.g.2374162 - KJ Martin,PF,HOU,UTA,UTA@HOU,8:00PM EDT,10,6.3," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6463$nba.g.2374162,Jae'Sean,Tate,nba.p.6463$nba.g.2374162 - Jae'Sean Tate,SF,HOU,UTA,UTA@HOU,8:00PM EDT,18,23.3," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6513$nba.g.2374162,Jalen,Green,nba.p.6513$nba.g.2374162 - Jalen Green,SG,HOU,UTA,UTA@HOU,8:00PM EDT,24,26.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6558$nba.g.2374162,Alperen,Sengun,nba.p.6558$nba.g.2374162 - Alperen Sengun,C,HOU,UTA,UTA@HOU,8:00PM EDT,14,21.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6565$nba.g.2374162,Usman,Garuba,nba.p.6565$nba.g.2374162 - Usman Garuba,PF,HOU,UTA,UTA@HOU,8:00PM EDT,10,10.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6566$nba.g.2374162,Josh,Christopher,nba.p.6566$nba.g.2374162 - Josh Christopher,SG,HOU,UTA,UTA@HOU,8:00PM EDT,10,6.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6626$nba.g.2374162,Daishen,Nix,nba.p.6626$nba.g.2374162 - Daishen Nix,SG,HOU,UTA,UTA@HOU,8:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4911$nba.g.2374766,Cory,Joseph,nba.p.4911$nba.g.2374766 - Cory Joseph,PG,DET,PHI,DET@PHI,7:00PM EDT,11,11.3," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5164$nba.g.2374766,Kelly,Olynyk,nba.p.5164$nba.g.2374766 - Kelly Olynyk,C,DET,PHI,DET@PHI,7:00PM EDT,19,26.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5270$nba.g.2374766,Rodney,McGruder,nba.p.5270$nba.g.2374766 - Rodney McGruder,SF,DET,PHI,DET@PHI,7:00PM EDT,10,3.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5350$nba.g.2374766,Jerami,Grant,nba.p.5350$nba.g.2374766 - Jerami Grant,PF,DET,PHI,DET@PHI,7:00PM EDT,27,34.8,GTD," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5472$nba.g.2374766,Trey,Lyles,nba.p.5472$nba.g.2374766 - Trey Lyles,PF,DET,PHI,DET@PHI,7:00PM EDT,10,17.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5766$nba.g.2374766,Josh,Jackson,nba.p.5766$nba.g.2374766 - Josh Jackson,SG,DET,PHI,DET@PHI,7:00PM EDT,16,18.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5844$nba.g.2374766,Frank,Jackson,nba.p.5844$nba.g.2374766 - Frank Jackson,PG,DET,PHI,DET@PHI,7:00PM EDT,10,5.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6056$nba.g.2374766,Hamidou,Diallo,nba.p.6056$nba.g.2374766 - Hamidou Diallo,SF,DET,PHI,DET@PHI,7:00PM EDT,10,9.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6399$nba.g.2374766,Killian,Hayes,nba.p.6399$nba.g.2374766 - Killian Hayes,PG,DET,PHI,DET@PHI,7:00PM EDT,12,13.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6408$nba.g.2374766,Isaiah,Stewart,nba.p.6408$nba.g.2374766 - Isaiah Stewart,C,DET,PHI,DET@PHI,7:00PM EDT,21,27.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6411$nba.g.2374766,Saddiq,Bey,nba.p.6411$nba.g.2374766 - Saddiq Bey,SF,DET,PHI,DET@PHI,7:00PM EDT,24,36.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6430$nba.g.2374766,Saben,Lee,nba.p.6430$nba.g.2374766 - Saben Lee,PG,DET,PHI,DET@PHI,7:00PM EDT,10,3.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6512$nba.g.2374766,Cade,Cunningham,nba.p.6512$nba.g.2374766 - Cade Cunningham,SG,DET,PHI,DET@PHI,7:00PM EDT,31,0.0,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6584$nba.g.2374766,Isaiah,Livers,nba.p.6584$nba.g.2374766 - Isaiah Livers,SF,DET,PHI,DET@PHI,7:00PM EDT,10,0.0,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6594$nba.g.2374766,Luka,Garza,nba.p.6594$nba.g.2374766 - Luka Garza,C,DET,PHI,DET@PHI,7:00PM EDT,10,9.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6612$nba.g.2374766,Chris,Smith,nba.p.6612$nba.g.2374766 - Chris Smith,SF,DET,PHI,DET@PHI,7:00PM EDT,10,0.0,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6644$nba.g.2374766,Jamorko,Pickett,nba.p.6644$nba.g.2374766 - Jamorko Pickett,SF,DET,PHI,DET@PHI,7:00PM EDT,10,-1.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4651$nba.g.2374766,Danny,Green,nba.p.4651$nba.g.2374766 - Danny Green,SF,PHI,DET,DET@PHI,7:00PM EDT,14,13.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4901$nba.g.2374766,Tobias,Harris,nba.p.4901$nba.g.2374766 - Tobias Harris,PF,PHI,DET,DET@PHI,7:00PM EDT,32,37.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5015$nba.g.2374766,Andre,Drummond,nba.p.5015$nba.g.2374766 - Andre Drummond,C,PHI,DET,DET@PHI,7:00PM EDT,18,29.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5245$nba.g.2374766,Seth,Curry,nba.p.5245$nba.g.2374766 - Seth Curry,SG,PHI,DET,DET@PHI,7:00PM EDT,16,23.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5294$nba.g.2374766,Joel,Embiid,nba.p.5294$nba.g.2374766 - Joel Embiid,C,PHI,DET,DET@PHI,7:00PM EDT,48,43.0,GTD," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5600$nba.g.2374766,Ben,Simmons,nba.p.5600$nba.g.2374766 - Ben Simmons,PG,PHI,DET,DET@PHI,7:00PM EDT,10,37.2,O," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5657$nba.g.2374766,Furkan,Korkmaz,nba.p.5657$nba.g.2374766 - Furkan Korkmaz,SG,PHI,DET,DET@PHI,7:00PM EDT,10,20.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5681$nba.g.2374766,Georges,Niang,nba.p.5681$nba.g.2374766 - Georges Niang,PF,PHI,DET,DET@PHI,7:00PM EDT,10,15.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6065$nba.g.2374766,Shake,Milton,nba.p.6065$nba.g.2374766 - Shake Milton,PG,PHI,DET,DET@PHI,7:00PM EDT,10,19.1,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6208$nba.g.2374766,Matisse,Thybulle,nba.p.6208$nba.g.2374766 - Matisse Thybulle,SF,PHI,DET,DET@PHI,7:00PM EDT,10,16.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6413$nba.g.2374766,Tyrese,Maxey,nba.p.6413$nba.g.2374766 - Tyrese Maxey,PG,PHI,DET,DET@PHI,7:00PM EDT,18,24.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6441$nba.g.2374766,Isaiah,Joe,nba.p.6441$nba.g.2374766 - Isaiah Joe,SG,PHI,DET,DET@PHI,7:00PM EDT,10,0.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6448$nba.g.2374766,Grant,Riller,nba.p.6448$nba.g.2374766 - Grant Riller,PG,PHI,DET,DET@PHI,7:00PM EDT,10,3.8,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6450$nba.g.2374766,Paul,Reed,nba.p.6450$nba.g.2374766 - Paul Reed,PF,PHI,DET,DET@PHI,7:00PM EDT,10,7.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6570$nba.g.2374766,Jaden,Springer,nba.p.6570$nba.g.2374766 - Jaden Springer,SG,PHI,DET,DET@PHI,7:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6595$nba.g.2374766,Charles,Bassey,nba.p.6595$nba.g.2374766 - Charles Bassey,C,PHI,DET,DET@PHI,7:00PM EDT,10,3.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6610$nba.g.2374766,Aaron,Henry,nba.p.6610$nba.g.2374766 - Aaron Henry,SF,PHI,DET,DET@PHI,7:00PM EDT,10,0.0," "," "
